State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
CA,6,16230,Grossmont Union High School District,"488,461","26,549","3,561"
CA,6,16260,Guadalupe Union Elementary School District,"7,563","1,232",221
CA,6,16320,Guerneville Elementary School District,"5,298",332,81
CA,6,16323,Gustine Unified School District,"9,281","1,940",643
CA,6,16325,Hacienda La Puente Unified School District,"120,681","20,638","3,461"
CA,6,1339,Hamilton Unified School District,"3,458",618,119
CA,6,16470,Hanford Elementary School District,"43,649","6,602","1,764"
CA,6,16500,Hanford Joint Union High School District,"68,472","4,682",863
CA,6,16530,Happy Camp Union Elementary School District,"1,312",104,30
CA,6,16560,Happy Valley Elementary School District,"1,480",106,10
CA,6,16570,Happy Valley Union Elementary School District,"6,093",631,144
CA,6,16620,Harmony Union School District,"4,490",273,22
CA,6,16650,Hart-Ransom Union Elementary School District,"4,505",581,81
CA,6,16680,Hawthorne Elementary School District,"76,248","9,173","2,328"
CA,6,16740,Hayward Unified School District,"182,723","28,512","3,353"
CA,6,44,Healdsburg Unified School District,"17,405","2,444",185
CA,6,16830,Heber Elementary School District,"7,656","1,267",230
CA,6,16860,Helendale Elementary School District,"6,766",526,111
CA,6,16920,Hemet Unified School District,"147,561","25,111","4,859"
CA,6,17040,Hermosa Beach City Elementary School District,"20,187","1,920",131
CA,6,14,Hesperia Unified School District,"105,414","22,655","5,722"
CA,6,17160,Hickman Community Charter School District,"1,330",200,30
CA,6,17190,Hillsborough City Elementary School District,"11,598","1,694",53
CA,6,17220,Hilmar Unified School District,"10,551","2,032",348
CA,6,17340,Hollister School District,"46,622","6,409",729
CA,6,17430,Holtville Unified School District,"8,863","1,854",430
CA,6,17490,Hope Elementary School District,"16,376","1,263",141
CA,6,17520,Hope Elementary School District,725,81,23
CA,6,17580,Horicon Elementary School District,"1,712",69,4
CA,6,17620,Hornbrook Elementary School District,695,65,15
CA,6,17640,Hot Springs Elementary School District,332,23,5
