Table with column headers in row 3,,,,,,
"2017 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2018",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,05530,Nogales Unified District,"21,618","4,551","2,030"
AZ,04,05640,Oracle Elementary District,"15,597","1,055",134
AZ,04,05670,Osborn Elementary District,"41,552","4,022","1,136"
AZ,04,05730,Owens-Whitney Elementary District,629,57,7
AZ,04,05820,Page Unified District,"13,662","2,867",764
AZ,04,05850,Palo Verde Elementary District,"3,090",462,99
AZ,04,08430,Paloma School District,340,85,11
AZ,04,05880,Palominas Elementary District,"9,992","1,602",230
AZ,04,05930,Paradise Valley Unified District,"270,645","41,576","5,220"
AZ,04,05980,Parker Unified School District,"9,620","1,619",552
AZ,04,06000,Patagonia Elementary District,"1,494",120,27
AZ,04,06030,Patagonia Union High School District,"3,299",124,14
AZ,04,06070,Payson Unified District,"21,598","2,684",626
AZ,04,06120,Peach Springs Unified District,"1,352",285,95
AZ,04,06150,Pearce Elementary District,"1,967",112,20
AZ,04,06210,Pendergast Elementary District,"75,504","11,537","2,534"
AZ,04,06250,Peoria Unified School District,"234,857","40,592","5,103"
AZ,04,06300,Phoenix Elementary District,"62,172","7,119","2,564"
AZ,04,06330,Phoenix Union High School District,"736,331","43,744","12,330"
AZ,04,06360,Picacho Elementary District,"9,463",134,41
AZ,04,06440,Pima Unified District,"3,770",899,267
AZ,04,06510,Pine Strawberry Elementary District,"2,945",219,45
AZ,04,00023,Pinon Unified District,"7,176","1,748",682
AZ,04,06630,Pomerene Elementary District,959,158,43
AZ,04,06730,Prescott Unified District,"59,054","5,585",862
AZ,04,06780,Quartzsite Elementary District,"6,194",289,104
AZ,04,06810,Queen Creek Unified District,"29,706","7,081",415
AZ,04,06850,Ray Unified District,"4,381",773,150
AZ,04,06870,Red Mesa Unified District,"8,620","1,963",840
AZ,04,06900,Red Rock Elementary District,"3,852",592,92
AZ,04,06930,Redington Elementary District,100,15,15
AZ,04,07020,Riverside Elementary District,"7,618","1,354",333
AZ,04,07080,Roosevelt Elementary District,"114,946","17,273","5,163"
AZ,04,07130,Round Valley Unified District,"8,177","1,408",350
AZ,04,07140,Rucker Elementary District,26,0,0
AZ,04,07200,Sacaton Elementary District,"7,530","1,222",393
AZ,04,07170,Saddle Mountain Unified School District,"9,943","2,107",353
AZ,04,07240,Safford Unified District,"16,787","3,264",816
AZ,04,07300,Sahuarita Unified District,"28,183","5,714",589
AZ,04,00005,Salome Consolidated Elementary District,"2,780",126,41
AZ,04,06960,San Carlos Unified District,"5,292","1,262",586
AZ,04,07380,San Fernando Elementary District,54,6,0
AZ,04,07430,San Simon Unified District,652,79,8
AZ,04,06740,Sanders Unified District,"5,906","1,292",567
AZ,04,07500,Santa Cruz Elementary District,"1,708",402,122
AZ,04,07520,Santa Cruz Valley Unified District,"19,574","4,096","1,041"
AZ,04,07530,Santa Cruz Valley Union High School District,"20,919",732,160
AZ,04,07570,Scottsdale Unified District,"248,643","32,749","2,793"
AZ,04,09733,Sedona-Oak Creek Joint Unified District,"15,598","1,253",183
AZ,04,07630,Seligman Unified District,"1,422",141,26
AZ,04,07680,Sentinel Elementary District,144,26,11
AZ,04,07700,Show Low Unified District,"16,518","2,637",685
AZ,04,01460,Sierra Vista Unified District,"46,507","7,029","1,323"
AZ,04,07770,Skull Valley Elementary District,661,107,13
AZ,04,07820,Snowflake Unified District,"12,411","2,660",559
AZ,04,07860,Solomon Elementary District,"2,902",380,62
AZ,04,07890,Somerton Elementary District,"22,878","3,172","1,150"
AZ,04,07920,Sonoita Elementary District,"1,805",115,24
AZ,04,08020,St. David Unified District,"3,506",505,63
AZ,04,08080,St. Johns Unified District,"4,201",791,242
AZ,04,08130,Stanfield Elementary District,"5,943",822,107
AZ,04,08170,Sunnyside Unified District,"91,585","19,471","5,809"
AZ,04,08230,Superior Unified School District,"3,852",590,95
AZ,04,08280,Tanque Verde Unified District,"11,977","1,895",102
AZ,04,08310,Tempe School District,"161,921","12,993","2,932"
AZ,04,08340,Tempe Union High School District,"331,855","15,931","1,567"
AZ,04,08410,Thatcher Unified District,"7,465","1,490",282
AZ,04,08490,Tolleson Elementary District,"16,983","2,791",740
AZ,04,08520,Tolleson Union High School District,"185,916","12,581","2,238"
AZ,04,08550,Toltec Elementary District,"16,251","1,970",367
AZ,04,08600,Tombstone Unified District,"7,256","1,021",269
AZ,04,05760,Tonto Basin Elementary District,"1,631",102,33
AZ,04,08640,Topock Elementary District,"2,589",153,34
AZ,04,08680,Tuba City Unified District,"16,821","3,668","1,336"
AZ,04,08800,Tucson Unified District,"493,164","72,075","16,876"
AZ,04,08820,Union Elementary District,"15,764","2,852",560
AZ,04,08850,Vail Unified District,"54,811","10,853",652
AZ,04,08880,Valentine Elementary District,258,37,7
AZ,04,08910,Valley Union High School District,"3,700",170,16
AZ,04,00022,Vernon Elementary District,"1,933",262,60
AZ,04,09030,Walnut Grove Elementary District,110,1,0
AZ,04,09060,Washington Elementary District,"254,697","29,172","8,021"
