LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
4215990,Mount Carmel Area SD,42,600 W 5th St,Mount Carmel,PA,17851,42,42097,Northumberland County,40.791321,-76.421525,44980,"Sunbury, PA",2,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4211,42107,42027,2017-2018,32,0.0,1,32
4216020,Mount Union Area SD,42,603 North Industrial Drive,Mount Union,PA,17066,42,42061,Huntingdon County,40.38879,-77.875631,26500,"Huntingdon, PA",2,N,N,N,N,4205,42081,42030,2017-2018,32,8.45,2,"32, 42"
4216050,Mountain View SD,42,11748 State Route 106,Kingsley,PA,18826,42,42115,Susquehanna County,41.740409,-75.726264,N,N,0,N,N,N,N,4210,42111,42020,2017-2018,42,0.0,1,42
4216110,Mt Lebanon SD,42,7 Horsman Dr,Pittsburgh,PA,15228,42,42003,Allegheny County,40.373761,-80.050606,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4218,42042,42037,2017-2018,21,0.0,1,21
4216170,Mount Pleasant Area SD,42,271 State Street,Mount Pleasant,PA,15666,42,42129,Westmoreland County,40.173,-79.5284,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4218,42059,42039,2017-2018,21,9.78,2,"21, 42"
4216200,Muhlenberg SD,42,801 Bellevue Avenue,Laureldale,PA,19605,42,42011,Berks County,40.388269,-75.922539,39740,"Reading, PA",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4206,42126,42011,2017-2018,21,0.0,1,21
4216230,Muncy SD,42,206 Sherman St,Muncy,PA,17756,42,42081,Lycoming County,41.20156,-76.789541,48700,"Williamsport, PA",1,558,"Williamsport-Lock Haven, PA",N,N,4210,42084,42023,2017-2018,31,0.0,1,31
4216290,Greater Nanticoke Area SD,42,427 Kosciuszko St,Nanticoke,PA,18634,42,42079,Luzerne County,41.203836,-75.992558,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,N,N,N,N,4211,42119,42014,2017-2018,21,0.0,1,21
4216380,Nazareth Area SD,42,One Education Plaza,Nazareth,PA,18064,42,42095,Northampton County,40.742378,-75.296828,10900,"Allentown-Bethlehem-Easton, PA-NJ",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,4217,42137,42040,2017-2018,21,7.41,2,"21, 41"
4216410,Neshaminy SD,42,2001 Old Lincoln Hwy,Langhorne,PA,19047,42,42017,Bucks County,40.15849,-74.948046,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4208,42142,42006,2017-2018,21,0.0,1,21
4216440,Neshannock Township SD,42,3834 Mitchell Rd,New Castle,PA,16105,42,42073,Lawrence County,41.066321,-80.346366,35260,"New Castle, PA",2,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4203,42009,42047,2017-2018,41,0.0,1,41
4216500,Woodland Hills SD,42,531 Jones Ave,N. Braddock,PA,15104,42,42003,Allegheny County,40.403417000000005,-79.863994,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4214,42034,42045,2017-2018,21,0.0,1,21
4216530,New Brighton Area SD,42,3225 43rd St,New Brighton,PA,15066,42,42007,Beaver County,40.7331,-80.29950000000001,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4212,42010,42047,2017-2018,21,0.0,1,21
4216620,New Castle Area SD,42,420 Fern St,New Castle,PA,16101,42,42073,Lawrence County,41.007219,-80.32281,35260,"New Castle, PA",2,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4203,42009,42047,2017-2018,31,0.0,1,31
4216740,New Kensington-Arnold SD,42,707 Stevenson Blvd,New Kensington,PA,15068,42,42129,Westmoreland County,40.569695,-79.753894,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4214,42033,42045,2017-2018,21,0.0,1,21
4216860,New Hope-Solebury SD,42,180 W Bridge St,New Hope,PA,18938,42,42017,Bucks County,40.36831,-74.959601,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4208,42178,42010,2017-2018,21,16.75,2,"21, 41"
4216890,Newport SD,42,420 Fickes Lane,Newport,PA,17074,42,42099,Perry County,40.48344,-77.137791,25420,"Harrisburg-Carlisle, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4210,42086,42015,2017-2018,32,0.0,1,32
4216980,Norristown Area SD,42,401 N Whitehall Rd,Norristown,PA,19403,42,42091,Montgomery County,40.1433,-75.35810000000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4207,42149,42044,2017-2018,21,0.0,1,21
4217010,North Allegheny SD,42,200 Hillvue Lane,Pittsburgh,PA,15237,42,42003,Allegheny County,40.566223,-80.031206,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4212,42028,42038,2017-2018,21,0.0,1,21
4217100,Moniteau SD,42,1810 W Sunbury Rd,West Sunbury,PA,16061,42,42019,Butler County,41.058434,-79.89959,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4203,42008,42021,2017-2018,42,0.0,1,42
4217130,North Clarion County SD,42,10439 Route 36,Tionesta,PA,16353,42,42031,Clarion County,41.394110000000005,-79.355821,N,N,0,N,N,N,N,4205,42063,42021,2017-2018,43,0.0,1,43
4217160,North East SD,42,50 E Division St,North East,PA,16428,42,42049,Erie County,42.21933,-79.830021,21500,"Erie, PA",1,240,"Erie-Meadville, PA",N,N,4205,42004,42049,2017-2018,31,0.0,1,31
4217220,North Hills SD,42,135 6th Ave,Pittsburgh,PA,15229,42,42003,Allegheny County,40.5248,-80.023,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4212,42020,42038,2017-2018,21,0.0,1,21
4217280,North Penn SD,42,401 E Hancock St,Lansdale,PA,19446,42,42091,Montgomery County,40.2324,-75.280161,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4213,42053,42024,2017-2018,21,0.0,1,21
4217310,North Pocono SD,42,701 Church St,Moscow,PA,18444,42,42069,Lackawanna County,41.337297,-75.531419,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,N,N,N,N,4210,42118,42022,2017-2018,41,0.0,1,41
4217370,Northampton Area SD,42,2014 Laubach Avenue,Northampton,PA,18067,42,42095,Northampton County,40.691500000000005,-75.49380000000001,10900,"Allentown-Bethlehem-Easton, PA-NJ",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,4215,42183,42018,2017-2018,21,8.52,2,"21, 41"
4217430,Riverside Beaver County SD,42,318 Country Club Dr,Ellwood City,PA,16117,42,42007,Beaver County,40.8327,-80.2574,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4212,42010,42047,2017-2018,41,0.0,1,41
4217460,Northeast Bradford SD,42,526 Panther Lane,Rome,PA,18837,42,42015,Bradford County,41.86237,-76.237661,42380,"Sayre, PA",2,N,N,N,N,4210,42110,42023,2017-2018,42,0.0,1,42
4217520,Northeastern York SD,42,41 Harding St,Manchester,PA,17345,42,42133,York County,40.0589,-76.7257,49620,"York-Hanover, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4204,42047,42048,2017-2018,22,6.92,2,"21, 22"
4217580,Northern Bedford County SD,42,152 NBC Drive,Loysburg,PA,16659,42,42009,Bedford County,40.177375000000005,-78.38024,N,N,0,N,N,N,N,4209,42078,42035,2017-2018,42,0.0,1,42
4217610,Northern Cambria SD,42,601 Joseph St,Northern Cambria,PA,15714,42,42021,Cambria County,40.656927,-78.789173,27780,"Johnstown, PA",1,306,"Johnstown-Somerset, PA",N,N,4209,42073,42035,2017-2018,32,0.0,1,32
4217640,Northern Lebanon SD,42,345 School Dr,Fredericksburg,PA,17026,42,42075,Lebanon County,40.434933,-76.44814600000001,30140,"Lebanon, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4215,42102,42048,2017-2018,41,21.97,2,"23, 41"
4217670,Northern Lehigh SD,42,1201 Shadow Oaks Ln,Slatington,PA,18080,42,42077,Lehigh County,40.766069,-75.615463,10900,"Allentown-Bethlehem-Easton, PA-NJ",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,4215,42183,42016,2017-2018,21,21.07,2,"21, 41"
4217700,Northern Potter SD,42,745 Northern Potter Road,Ulysses,PA,16948,42,42105,Potter County,41.924533,-77.734638,N,N,0,N,N,N,N,4205,42067,42025,2017-2018,43,0.0,1,43
